Year,Product,Price,InflationRate,Demand
2015,Laptop,800,1.2,500
2016,Laptop,850,1.5,480
2017,Laptop,900,1.7,460
2018,Laptop,950,2.0,440
2019,Laptop,1000,1.8,420
2020,Laptop,1100,2.5,400
2021,Laptop,1200,3.0,380
2022,Laptop,1350,4.2,350
2023,Laptop,1480,5.1,320
2024,Laptop,1600,4.8,300
2015,Phone,400,1.2,900
2016,Phone,420,1.5,880
2017,Phone,450,1.7,860
2018,Phone,480,2.0,830
2019,Phone,500,1.8,800
2020,Phone,550,2.5,760
2021,Phone,600,3.0,720
2022,Phone,650,4.2,680
2023,Phone,700,5.1,640
2024,Phone,750,4.8,600
2015,Tablet,300,1.2,600
2016,Tablet,320,1.5,590
2017,Tablet,340,1.7,570
2018,Tablet,360,2.0,550
2019,Tablet,380,1.8,530
2020,Tablet,420,2.5,500
2021,Tablet,450,3.0,470
2022,Tablet,500,4.2,440
2023,Tablet,550,5.1,400
2024,Tablet,600,4.8,360
2015,Headphones,100,1.2,1200
2016,Headphones,110,1.5,1150
2017,Headphones,120,1.7,1100
2018,Headphones,130,2.0,1050
2019,Headphones,140,1.8,1000
2020,Headphones,160,2.5,950
2021,Headphones,180,3.0,900
2022,Headphones,200,4.2,850
2023,Headphones,220,5.1,800
2024,Headphones,250,4.8,750
2015,Monitor,200,1.2,700
2016,Monitor,220,1.5,680
2017,Monitor,240,1.7,660
2018,Monitor,260,2.0,630
2019,Monitor,280,1.8,600
2020,Monitor,320,2.5,560
2021,Monitor,360,3.0,520
2022,Monitor,400,4.2,480
2023,Monitor,450,5.1,430
2024,Monitor,500,4.8,380
